id,location_ref,code,name,from_cods,reference_period_start,reference_period_end,location_code,location_name
#adm1+hapi_id,#country+hapi_id,#adm1+code,#adm1+name,,#date+start,#date+end,#country+code,#country+name
1,1,AF01,Kabul,True,2021-11-17T00:00:00,,AFG,Afghanistan
2,1,AF02,Kapisa,True,2021-11-17T00:00:00,,AFG,Afghanistan
3,1,AF03,Parwan,True,2021-11-17T00:00:00,,AFG,Afghanistan
4,1,AF04,Maidan Wardak,True,2021-11-17T00:00:00,,AFG,Afghanistan
5,1,AF05,Logar,True,2021-11-17T00:00:00,,AFG,Afghanistan
6,1,AF06,Nangarhar,True,2021-11-17T00:00:00,,AFG,Afghanistan
7,1,AF07,Laghman,True,2021-11-17T00:00:00,,AFG,Afghanistan
8,1,AF08,Panjsher,True,2021-11-17T00:00:00,,AFG,Afghanistan
9,1,AF09,Baghlan,True,2021-11-17T00:00:00,,AFG,Afghanistan
10,1,AF10,Bamyan,True,2021-11-17T00:00:00,,AFG,Afghanistan
11,1,AF11,Ghazni,True,2021-11-17T00:00:00,,AFG,Afghanistan
12,1,AF12,Paktika,True,2021-11-17T00:00:00,,AFG,Afghanistan
13,1,AF13,Paktya,True,2021-11-17T00:00:00,,AFG,Afghanistan
14,1,AF14,Khost,True,2021-11-17T00:00:00,,AFG,Afghanistan
15,1,AF15,Kunar,True,2021-11-17T00:00:00,,AFG,Afghanistan
16,1,AF16,Nuristan,True,2021-11-17T00:00:00,,AFG,Afghanistan
17,1,AF17,Badakhshan,True,2021-11-17T00:00:00,,AFG,Afghanistan
18,1,AF18,Takhar,True,2021-11-17T00:00:00,,AFG,Afghanistan
19,1,AF19,Kunduz,True,2021-11-17T00:00:00,,AFG,Afghanistan
20,1,AF20,Samangan,True,2021-11-17T00:00:00,,AFG,Afghanistan
21,1,AF21,Balkh,True,2021-11-17T00:00:00,,AFG,Afghanistan
22,1,AF22,Sar-e-Pul,True,2021-11-17T00:00:00,,AFG,Afghanistan
23,1,AF23,Ghor,True,2021-11-17T00:00:00,,AFG,Afghanistan
24,1,AF24,Daykundi,True,2021-11-17T00:00:00,,AFG,Afghanistan
25,1,AF25,Uruzgan,True,2021-11-17T00:00:00,,AFG,Afghanistan
26,1,AF26,Zabul,True,2021-11-17T00:00:00,,AFG,Afghanistan
27,1,AF27,Kandahar,True,2021-11-17T00:00:00,,AFG,Afghanistan
28,1,AF28,Jawzjan,True,2021-11-17T00:00:00,,AFG,Afghanistan
29,1,AF29,Faryab,True,2021-11-17T00:00:00,,AFG,Afghanistan
30,1,AF30,Hilmand,True,2021-11-17T00:00:00,,AFG,Afghanistan
31,1,AF31,Badghis,True,2021-11-17T00:00:00,,AFG,Afghanistan
32,1,AF32,Hirat,True,2021-11-17T00:00:00,,AFG,Afghanistan
33,1,AF33,Farah,True,2021-11-17T00:00:00,,AFG,Afghanistan
34,1,AF34,Nimroz,True,2021-11-17T00:00:00,,AFG,Afghanistan
35,36,BF13,Centre,True,2020-03-23T00:00:00,,BFA,Burkina Faso
36,36,BF46,Boucle du Mouhoun,True,2020-03-23T00:00:00,,BFA,Burkina Faso
37,36,BF47,Cascades,True,2020-03-23T00:00:00,,BFA,Burkina Faso
38,36,BF48,Centre-Est,True,2020-03-23T00:00:00,,BFA,Burkina Faso
39,36,BF49,Centre-Nord,True,2020-03-23T00:00:00,,BFA,Burkina Faso
40,36,BF50,Centre-Ouest,True,2020-03-23T00:00:00,,BFA,Burkina Faso
41,36,BF51,Centre-Sud,True,2020-03-23T00:00:00,,BFA,Burkina Faso
42,36,BF52,Est,True,2020-03-23T00:00:00,,BFA,Burkina Faso
43,36,BF53,Hauts-Bassins,True,2020-03-23T00:00:00,,BFA,Burkina Faso
44,36,BF54,Nord,True,2020-03-23T00:00:00,,BFA,Burkina Faso
45,36,BF55,Plateau-Central,True,2020-03-23T00:00:00,,BFA,Burkina Faso
46,36,BF56,Sahel,True,2020-03-23T00:00:00,,BFA,Burkina Faso
47,36,BF57,Sud-Ouest,True,2020-03-23T00:00:00,,BFA,Burkina Faso
48,43,CF11,Ombella M'Poko,True,2015-06-15T00:00:00,,CAF,Central African Republic
49,43,CF12,Lobaye,True,2015-06-15T00:00:00,,CAF,Central African Republic
50,43,CF21,Mambere-Kadei,True,2015-06-15T00:00:00,,CAF,Central African Republic
51,43,CF22,Nana-Mambere,True,2015-06-15T00:00:00,,CAF,Central African Republic
52,43,CF23,Sangha-Mbaere,True,2015-06-15T00:00:00,,CAF,Central African Republic
53,43,CF31,Ouham Pende,True,2015-06-15T00:00:00,,CAF,Central African Republic
54,43,CF32,Ouham,True,2015-06-15T00:00:00,,CAF,Central African Republic
