id,admin1_ref,code,name,from_cods,reference_period_start,reference_period_end,admin1_code,admin1_name,location_code,location_name,location_ref
#adm2+hapi_id,#adm1+hapi_id,#adm2+code,#adm2+name,,#date+start,#date+end,#adm1+code,#adm1+code,#country+code,#country+code,#country+hapi_id
1,1,AF0101,Kabul,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
2,1,AF0102,Paghman,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
3,1,AF0103,Chahar Asyab,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
4,1,AF0104,Bagrami,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
5,1,AF0105,Deh Sabz,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
6,1,AF0106,Shakar Dara,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
7,1,AF0107,Musahi,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
8,1,AF0108,Mir Bacha Kot,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
9,1,AF0109,Khak-e-Jabbar,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
10,1,AF0110,Kalakan,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
11,1,AF0111,Guldara,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
12,1,AF0112,Farza,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
13,1,AF0113,Estalef,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
14,1,AF0114,Qara Bagh,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
15,1,AF0115,Surobi,True,2021-11-17T00:00:00,,AF01,Kabul,AFG,Afghanistan,1
16,2,AF0201,Mahmood-e-Raqi,True,2021-11-17T00:00:00,,AF02,Kapisa,AFG,Afghanistan,1
17,2,AF0202,Hisa-e-Duwum-e-Kohistan,True,2021-11-17T00:00:00,,AF02,Kapisa,AFG,Afghanistan,1
18,2,AF0203,Koh Band,True,2021-11-17T00:00:00,,AF02,Kapisa,AFG,Afghanistan,1
19,2,AF0204,Hisa-e-Awal-e-Kohistan,True,2021-11-17T00:00:00,,AF02,Kapisa,AFG,Afghanistan,1
20,2,AF0205,Nijrab,True,2021-11-17T00:00:00,,AF02,Kapisa,AFG,Afghanistan,1
21,2,AF0206,Tagab,True,2021-11-17T00:00:00,,AF02,Kapisa,AFG,Afghanistan,1
22,2,AF0207,Alasay,True,2021-11-17T00:00:00,,AF02,Kapisa,AFG,Afghanistan,1
23,3,AF0301,Charikar,True,2021-11-17T00:00:00,,AF03,Parwan,AFG,Afghanistan,1
24,3,AF0302,Bagram,True,2021-11-17T00:00:00,,AF03,Parwan,AFG,Afghanistan,1
25,3,AF0303,Shinwari,True,2021-11-17T00:00:00,,AF03,Parwan,AFG,Afghanistan,1
26,3,AF0304,Sayed Khel,True,2021-11-17T00:00:00,,AF03,Parwan,AFG,Afghanistan,1
27,3,AF0305,Jabal Saraj,True,2021-11-17T00:00:00,,AF03,Parwan,AFG,Afghanistan,1
28,3,AF0306,Salang,True,2021-11-17T00:00:00,,AF03,Parwan,AFG,Afghanistan,1
29,3,AF0307,Ghorband,True,2021-11-17T00:00:00,,AF03,Parwan,AFG,Afghanistan,1
30,3,AF0308,Koh-e-Safi,True,2021-11-17T00:00:00,,AF03,Parwan,AFG,Afghanistan,1
31,3,AF0309,Surkh-e-Parsa,True,2021-11-17T00:00:00,,AF03,Parwan,AFG,Afghanistan,1
32,3,AF0310,Shekh Ali,True,2021-11-17T00:00:00,,AF03,Parwan,AFG,Afghanistan,1
33,4,AF0401,Maydan Shahr,True,2021-11-17T00:00:00,,AF04,Maidan Wardak,AFG,Afghanistan,1
34,4,AF0402,Nerkh,True,2021-11-17T00:00:00,,AF04,Maidan Wardak,AFG,Afghanistan,1
35,4,AF0403,Jalrez,True,2021-11-17T00:00:00,,AF04,Maidan Wardak,AFG,Afghanistan,1
36,4,AF0404,Chak-e-Wardak,True,2021-11-17T00:00:00,,AF04,Maidan Wardak,AFG,Afghanistan,1
37,4,AF0405,Saydabad,True,2021-11-17T00:00:00,,AF04,Maidan Wardak,AFG,Afghanistan,1
38,4,AF0406,Daymirdad,True,2021-11-17T00:00:00,,AF04,Maidan Wardak,AFG,Afghanistan,1
39,4,AF0407,Hesa-e-Awal-e-Behsud,True,2021-11-17T00:00:00,,AF04,Maidan Wardak,AFG,Afghanistan,1
40,4,AF0408,Jaghatu,True,2021-11-17T00:00:00,,AF04,Maidan Wardak,AFG,Afghanistan,1
41,4,AF0409,Markaz-e-Behsud,True,2021-11-17T00:00:00,,AF04,Maidan Wardak,AFG,Afghanistan,1
42,5,AF0501,Pul-e-Alam,True,2021-11-17T00:00:00,,AF05,Logar,AFG,Afghanistan,1
43,5,AF0502,Baraki Barak,True,2021-11-17T00:00:00,,AF05,Logar,AFG,Afghanistan,1
44,5,AF0503,Charkh,True,2021-11-17T00:00:00,,AF05,Logar,AFG,Afghanistan,1
45,5,AF0504,Khoshi,True,2021-11-17T00:00:00,,AF05,Logar,AFG,Afghanistan,1
46,5,AF0505,Mohammad Agha,True,2021-11-17T00:00:00,,AF05,Logar,AFG,Afghanistan,1
47,5,AF0506,Kharwar,True,2021-11-17T00:00:00,,AF05,Logar,AFG,Afghanistan,1
48,5,AF0507,Azra,True,2021-11-17T00:00:00,,AF05,Logar,AFG,Afghanistan,1
49,6,AF0601,Jalalabad,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
50,6,AF0602,Behsud,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
51,6,AF0603,Surkh Rod,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
52,6,AF0604,Chaparhar,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
53,6,AF0605,Kama,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
54,6,AF0606,Kuz Kunar,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
55,6,AF0607,Rodat,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
56,6,AF0608,Khogyani,True,2021-11-17T00:00:00,,AF06,Nangarhar,AFG,Afghanistan,1
