id,code,name,has_hrp,in_gho,from_cods,reference_period_start,reference_period_end
#country+hapi_id,#country+code,#country+name,#indicator+has_hrp,#indicator+in_gho,#indicator+from_cods,#date+start,#date+end
1,AFG,Afghanistan,True,True,True,2004-01-26T00:00:00,
2,ALA,Åland Islands,False,False,True,2004-02-13T00:00:00,
3,ALB,Albania,False,False,True,1974-01-01T00:00:00,
4,DZA,Algeria,False,False,True,1974-01-01T00:00:00,
5,ASM,American Samoa,False,False,True,1974-01-01T00:00:00,
6,AND,Andorra,False,False,True,1994-01-26T00:00:00,
7,AGO,Angola,False,True,True,1993-07-02T00:00:00,
8,AIA,Anguilla,False,False,True,1985-01-01T00:00:00,
9,ATA,Antarctica,False,False,True,1983-01-01T00:00:00,
10,ATG,Antigua and Barbuda,False,False,True,1974-01-01T00:00:00,
11,ARG,Argentina,False,True,True,1974-01-01T00:00:00,
12,ARM,Armenia,False,False,True,1992-06-15T00:00:00,
13,ABW,Aruba,False,True,True,1986-01-01T00:00:00,
14,AUS,Australia,False,False,True,1974-01-01T00:00:00,
15,AUT,Austria,False,False,True,1974-01-01T00:00:00,
16,AZE,Azerbaijan,False,False,True,1992-06-15T00:00:00,
17,BHS,Bahamas,False,False,True,1974-01-01T00:00:00,
18,BHR,Bahrain,False,False,True,1974-01-01T00:00:00,
19,BGD,Bangladesh,False,True,True,1974-01-01T00:00:00,
20,BRB,Barbados,False,False,True,1974-01-01T00:00:00,
21,BLR,Belarus,False,False,True,1992-06-15T00:00:00,
22,BEL,Belgium,False,False,True,1974-01-01T00:00:00,
23,BLZ,Belize,False,False,True,1974-01-01T00:00:00,
24,BEN,Benin,False,False,True,1977-01-01T00:00:00,
25,BMU,Bermuda,False,False,True,1974-01-01T00:00:00,
26,BTN,Bhutan,False,False,True,1974-01-01T00:00:00,
27,BOL,Bolivia (Plurinational State of),False,True,True,2009-05-08T00:00:00,
28,BIH,Bosnia and Herzegovina,False,False,True,1993-01-01T00:00:00,
29,BES,"Bonaire, Sint Eustatius and Saba",False,False,True,2011-06-12T00:00:00,
30,BWA,Botswana,False,False,True,1974-01-01T00:00:00,
31,BVT,Bouvet Island,False,False,True,1974-01-01T00:00:00,
32,BRA,Brazil,False,True,True,1974-01-01T00:00:00,
33,IOT,British Indian Ocean Territory,False,False,True,1974-01-01T00:00:00,
34,BRN,Brunei Darussalam,False,False,True,1974-01-01T00:00:00,
35,BGR,Bulgaria,False,True,True,1974-01-01T00:00:00,
36,BFA,Burkina Faso,True,True,True,1984-01-01T00:00:00,
37,BDI,Burundi,False,True,True,1974-01-01T00:00:00,
38,KHM,Cambodia,False,False,True,1994-01-26T00:00:00,
39,CMR,Cameroon,True,True,True,1974-01-01T00:00:00,
40,CAN,Canada,False,False,True,1974-01-01T00:00:00,
41,CPV,Cabo Verde,False,False,True,1974-01-01T00:00:00,
42,CYM,Cayman Islands,False,False,True,1974-01-01T00:00:00,
43,CAF,Central African Republic,True,True,True,1974-01-01T00:00:00,
44,TCD,Chad,True,True,True,1974-01-01T00:00:00,
45,CHL,Chile,False,True,True,1974-01-01T00:00:00,
46,CHN,China,False,False,True,1974-01-01T00:00:00,
47,CXR,Christmas Island,False,False,True,1974-01-01T00:00:00,
48,CCK,Cocos (Keeling) Islands,False,False,True,1974-01-01T00:00:00,
49,COL,Colombia,True,True,True,1974-01-01T00:00:00,
50,COM,Comoros,False,False,True,2003-01-14T00:00:00,
51,COG,Congo,False,True,True,1974-01-01T00:00:00,
52,COD,Democratic Republic of the Congo,True,True,True,1997-07-14T00:00:00,
53,COK,Cook Islands,False,False,True,1974-01-01T00:00:00,
54,CRI,Costa Rica,False,True,True,1974-01-01T00:00:00,
55,CIV,Côte d'Ivoire,False,False,True,1974-01-01T00:00:00,
56,HRV,Croatia,False,False,True,1992-06-15T00:00:00,
57,CUB,Cuba,False,False,True,1974-01-01T00:00:00,
58,CUW,Curaçao,False,True,True,2010-12-15T00:00:00,
59,CYP,Cyprus,False,False,True,1974-01-01T00:00:00,
60,CZE,Czechia,False,True,True,2016-08-29T00:00:00,
61,DNK,Denmark,False,False,True,1974-01-01T00:00:00,
62,DJI,Djibouti,False,True,True,1977-01-01T00:00:00,
63,DMA,Dominica,False,False,True,1974-01-01T00:00:00,
64,DOM,Dominican Republic,False,True,True,1974-01-01T00:00:00,
65,ECU,Ecuador,False,True,True,1974-01-01T00:00:00,
66,EGY,Egypt,False,True,True,1974-01-01T00:00:00,
67,SLV,El Salvador,True,True,True,1974-01-01T00:00:00,
68,GNQ,Equatorial Guinea,False,False,True,1974-01-01T00:00:00,
69,ERI,Eritrea,False,False,True,2012-08-02T00:00:00,
70,EST,Estonia,False,True,True,1992-06-15T00:00:00,
71,ETH,Ethiopia,True,True,True,1993-07-16T00:00:00,
72,FLK,Falkland Islands (Malvinas),False,False,True,1974-01-01T00:00:00,
73,FRO,Faroe Islands,False,False,True,1974-01-01T00:00:00,
74,FJI,Fiji,False,False,True,2011-06-12T00:00:00,
75,FIN,Finland,False,False,True,1974-01-01T00:00:00,
76,FRA,France,False,False,True,1974-01-01T00:00:00,
77,GUF,French Guiana,False,False,True,1974-01-01T00:00:00,
78,PYF,French Polynesia,False,False,True,1974-01-01T00:00:00,
79,ATF,French Southern Territories,False,False,True,1979-01-01T00:00:00,
80,GAB,Gabon,False,False,True,1974-01-01T00:00:00,
81,GMB,Gambia,False,False,True,1974-01-01T00:00:00,
82,GEO,Georgia,False,False,True,1992-08-28T00:00:00,
83,DEU,Germany,False,False,True,1990-10-30T00:00:00,
84,GHA,Ghana,False,False,True,1974-01-01T00:00:00,
85,GIB,Gibraltar,False,False,True,1974-01-01T00:00:00,
86,GRC,Greece,False,False,True,1974-01-01T00:00:00,
87,GRL,Greenland,False,False,True,1974-01-01T00:00:00,
88,GRD,Grenada,False,False,True,1974-01-01T00:00:00,
89,GLP,Guadeloupe,False,False,True,1974-01-01T00:00:00,
90,GUM,Guam,False,False,True,1974-01-01T00:00:00,
91,GTM,Guatemala,True,True,True,1974-01-01T00:00:00,
92,GGY,Guernsey,False,False,True,2006-03-29T00:00:00,
93,GIN,Guinea,False,False,True,1974-01-01T00:00:00,
94,GNB,Guinea-Bissau,False,False,True,1974-01-01T00:00:00,
95,GUY,Guyana,False,True,True,2018-10-11T00:00:00,
96,HTI,Haiti,True,True,True,1974-01-01T00:00:00,
97,HMD,Heard Island and McDonald Islands,False,False,True,1974-01-01T00:00:00,
98,VAT,Holy See,False,False,True,1996-04-03T00:00:00,
99,HND,Honduras,True,True,True,1974-01-01T00:00:00,
100,HKG,"China, Hong Kong Special Administrative Region",False,False,True,1974-01-01T00:00:00,
101,HUN,Hungary,False,True,True,2012-02-15T00:00:00,
102,ISL,Iceland,False,False,True,2022-10-20T00:00:00,
103,IND,India,False,False,True,1975-01-01T00:00:00,
104,IDN,Indonesia,False,False,True,1974-01-01T00:00:00,
105,IRN,Iran (Islamic Republic of),False,True,True,1974-01-01T00:00:00,
106,IRQ,Iraq,False,True,True,1974-01-01T00:00:00,
